NodeID	NodeType
0	ntype_3
1	ntype_3
2	ntype_1
3	ntype_3
4	ntype_2
5	ntype_1
6	ntype_3
7	ntype_2
8	ntype_1
9	ntype_2
10	ntype_3
11	ntype_2
12	ntype_3
13	ntype_3
14	ntype_1
15	ntype_0
16	ntype_1
17	ntype_2
18	ntype_2
19	ntype_3
20	ntype_3
21	ntype_0
22	ntype_2
23	ntype_2
24	ntype_2
25	ntype_1
26	ntype_2
27	ntype_3
28	ntype_0
29	ntype_3
30	ntype_2
31	ntype_3
32	ntype_1
33	ntype_1
34	ntype_0
35	ntype_3
36	ntype_1
37	ntype_0
38	ntype_3
39	ntype_2
40	ntype_3
41	ntype_1
42	ntype_1
43	ntype_0
44	ntype_2
45	ntype_0
46	ntype_1
47	ntype_1
48	ntype_0
49	ntype_2
50	ntype_2
51	ntype_3
52	ntype_2
53	ntype_3
54	ntype_0
55	ntype_2
56	ntype_1
57	ntype_0
58	ntype_1
59	ntype_2
60	ntype_1
61	ntype_3
62	ntype_1
63	ntype_0
64	ntype_2
65	ntype_2
66	ntype_2
67	ntype_2
68	ntype_2
69	ntype_3
70	ntype_2
71	ntype_1
72	ntype_1
73	ntype_3
74	ntype_2
75	ntype_2
76	ntype_3
77	ntype_1
78	ntype_1
79	ntype_1
80	ntype_1
81	ntype_1
82	ntype_0
83	ntype_2
84	ntype_2
85	ntype_0
86	ntype_1
87	ntype_1
88	ntype_0
89	ntype_1
90	ntype_0
91	ntype_3
92	ntype_0
93	ntype_2
94	ntype_2
95	ntype_2
96	ntype_3
97	ntype_3
98	ntype_1
99	ntype_1
100	ntype_3
101	ntype_1
102	ntype_3
103	ntype_1
104	ntype_3
105	ntype_0
106	ntype_0
107	ntype_3
108	ntype_1
109	ntype_3
110	ntype_3
111	ntype_1
112	ntype_1
113	ntype_2
114	ntype_0
115	ntype_1
116	ntype_3
117	ntype_2
118	ntype_0
119	ntype_2
120	ntype_1
121	ntype_3
122	ntype_2
123	ntype_1
124	ntype_1
125	ntype_1
126	ntype_0
127	ntype_3
128	ntype_3
129	ntype_2
130	ntype_3
131	ntype_2
132	ntype_3
133	ntype_2
134	ntype_1
135	ntype_0
136	ntype_0
137	ntype_2
138	ntype_2
139	ntype_0
140	ntype_2
141	ntype_3
142	ntype_0
143	ntype_1
144	ntype_3
145	ntype_3
146	ntype_1
147	ntype_1
148	ntype_0
149	ntype_1
150	ntype_0
151	ntype_0
152	ntype_3
153	ntype_0
154	ntype_2
155	ntype_1
156	ntype_3
157	ntype_1
158	ntype_2
159	ntype_2
160	ntype_2
161	ntype_2
162	ntype_2
163	ntype_3
164	ntype_1
165	ntype_3
166	ntype_1
167	ntype_3
168	ntype_1
169	ntype_3
170	ntype_0
171	ntype_3
172	ntype_1
173	ntype_0
174	ntype_2
175	ntype_0
176	ntype_0
177	ntype_2
178	ntype_3
179	ntype_1
180	ntype_1
181	ntype_0
182	ntype_3
183	ntype_0
184	ntype_2
185	ntype_0
186	ntype_2
187	ntype_3
188	ntype_3
189	ntype_0
190	ntype_0
191	ntype_3
192	ntype_3
193	ntype_1
194	ntype_1
195	ntype_0
196	ntype_3
197	ntype_0
198	ntype_1
199	ntype_1
200	ntype_2
201	ntype_3
202	ntype_2
203	ntype_0
204	ntype_1
205	ntype_1
206	ntype_0
207	ntype_2
208	ntype_0
209	ntype_3
210	ntype_1
211	ntype_0
212	ntype_1
213	ntype_0
214	ntype_2
215	ntype_3
216	ntype_1
217	ntype_3
218	ntype_3
219	ntype_1
220	ntype_0
221	ntype_0
222	ntype_2
223	ntype_1
224	ntype_1
225	ntype_1
226	ntype_1
227	ntype_2
228	ntype_2
229	ntype_0
230	ntype_0
231	ntype_0
232	ntype_1
233	ntype_0
234	ntype_3
235	ntype_1
236	ntype_0
237	ntype_3
238	ntype_3
239	ntype_0
240	ntype_1
241	ntype_3
242	ntype_3
243	ntype_1
244	ntype_2
245	ntype_1
246	ntype_2
247	ntype_1
248	ntype_1
249	ntype_0
250	ntype_0
251	ntype_3
252	ntype_2
253	ntype_2
254	ntype_1
255	ntype_1
256	ntype_3
257	ntype_0
258	ntype_1
259	ntype_3
260	ntype_1
261	ntype_1
262	ntype_2
263	ntype_0
264	ntype_3
265	ntype_2
266	ntype_1
267	ntype_3
268	ntype_1
269	ntype_2
270	ntype_1
271	ntype_1
272	ntype_0
273	ntype_2
274	ntype_1
275	ntype_0
