NodeID	NodeType
0	ntype_0
1	ntype_3
2	ntype_0
3	ntype_2
4	ntype_3
5	ntype_3
6	ntype_2
7	ntype_1
8	ntype_1
9	ntype_2
10	ntype_0
11	ntype_2
12	ntype_2
13	ntype_3
14	ntype_1
15	ntype_2
16	ntype_2
17	ntype_3
18	ntype_2
19	ntype_1
20	ntype_1
21	ntype_2
22	ntype_3
23	ntype_0
24	ntype_2
25	ntype_2
26	ntype_0
27	ntype_0
28	ntype_0
29	ntype_1
30	ntype_2
31	ntype_1
32	ntype_3
33	ntype_1
34	ntype_1
35	ntype_2
36	ntype_1
37	ntype_0
38	ntype_1
39	ntype_0
40	ntype_0
41	ntype_1
42	ntype_2
43	ntype_0
44	ntype_3
45	ntype_1
46	ntype_3
47	ntype_3
48	ntype_3
49	ntype_1
50	ntype_3
51	ntype_0
52	ntype_0
53	ntype_1
54	ntype_2
55	ntype_2
56	ntype_0
57	ntype_3
58	ntype_0
59	ntype_0
60	ntype_2
61	ntype_0
62	ntype_2
63	ntype_3
64	ntype_2
65	ntype_1
66	ntype_0
67	ntype_3
68	ntype_2
69	ntype_2
70	ntype_0
71	ntype_0
72	ntype_3
73	ntype_1
74	ntype_2
75	ntype_1
76	ntype_3
77	ntype_1
78	ntype_0
79	ntype_2
80	ntype_3
81	ntype_1
82	ntype_3
83	ntype_3
84	ntype_2
85	ntype_3
86	ntype_3
87	ntype_0
88	ntype_0
89	ntype_0
90	ntype_0
91	ntype_0
92	ntype_1
93	ntype_1
94	ntype_1
95	ntype_3
96	ntype_1
97	ntype_3
98	ntype_2
99	ntype_1
100	ntype_3
101	ntype_3
102	ntype_3
103	ntype_2
104	ntype_1
105	ntype_1
106	ntype_1
107	ntype_0
108	ntype_0
109	ntype_2
110	ntype_0
111	ntype_2
112	ntype_0
113	ntype_0
114	ntype_2
115	ntype_1
116	ntype_2
117	ntype_2
118	ntype_1
119	ntype_2
120	ntype_1
121	ntype_3
122	ntype_0
123	ntype_2
124	ntype_2
125	ntype_2
126	ntype_2
127	ntype_2
128	ntype_3
129	ntype_0
130	ntype_0
131	ntype_3
132	ntype_2
133	ntype_0
134	ntype_0
135	ntype_3
136	ntype_2
137	ntype_0
138	ntype_0
139	ntype_1
140	ntype_3
141	ntype_2
142	ntype_2
143	ntype_1
144	ntype_0
145	ntype_2
146	ntype_2
147	ntype_3
148	ntype_0
149	ntype_2
150	ntype_1
151	ntype_2
152	ntype_2
153	ntype_1
154	ntype_0
155	ntype_0
156	ntype_3
157	ntype_2
158	ntype_3
159	ntype_3
160	ntype_1
161	ntype_1
162	ntype_3
163	ntype_1
164	ntype_2
165	ntype_3
166	ntype_2
167	ntype_0
168	ntype_3
169	ntype_3
170	ntype_3
171	ntype_2
172	ntype_1
173	ntype_1
174	ntype_0
175	ntype_1
176	ntype_0
177	ntype_1
178	ntype_2
179	ntype_0
180	ntype_3
181	ntype_3
182	ntype_3
183	ntype_0
184	ntype_2
185	ntype_2
186	ntype_2
187	ntype_3
188	ntype_3
189	ntype_0
190	ntype_3
191	ntype_0
192	ntype_3
193	ntype_0
194	ntype_0
195	ntype_3
196	ntype_3
197	ntype_2
198	ntype_2
199	ntype_0
200	ntype_0
201	ntype_1
202	ntype_2
203	ntype_1
204	ntype_2
205	ntype_2
206	ntype_1
207	ntype_2
208	ntype_2
209	ntype_3
210	ntype_0
211	ntype_3
212	ntype_3
213	ntype_2
214	ntype_2
215	ntype_1
216	ntype_1
217	ntype_3
218	ntype_2
219	ntype_1
220	ntype_0
221	ntype_3
222	ntype_1
223	ntype_1
224	ntype_3
225	ntype_2
226	ntype_3
227	ntype_3
228	ntype_2
229	ntype_3
230	ntype_3
231	ntype_1
232	ntype_1
233	ntype_0
234	ntype_1
235	ntype_2
236	ntype_0
237	ntype_0
238	ntype_1
239	ntype_3
240	ntype_2
241	ntype_0
242	ntype_3
243	ntype_3
244	ntype_3
245	ntype_1
246	ntype_2
247	ntype_2
248	ntype_1
249	ntype_2
250	ntype_0
251	ntype_3
252	ntype_3
253	ntype_1
254	ntype_2
255	ntype_0
256	ntype_3
257	ntype_1
258	ntype_0
259	ntype_3
260	ntype_3
261	ntype_2
262	ntype_3
263	ntype_3
264	ntype_2
265	ntype_2
266	ntype_3
267	ntype_2
268	ntype_3
269	ntype_3
270	ntype_0
271	ntype_3
272	ntype_2
273	ntype_1
274	ntype_0
275	ntype_3
276	ntype_2
277	ntype_2
278	ntype_1
279	ntype_3
280	ntype_1
281	ntype_3
282	ntype_1
283	ntype_1
284	ntype_0
285	ntype_1
286	ntype_0
287	ntype_2
288	ntype_2
289	ntype_3
290	ntype_2
291	ntype_1
292	ntype_3
293	ntype_3
294	ntype_2
295	ntype_1
296	ntype_1
297	ntype_1
298	ntype_0
299	ntype_3
300	ntype_1
301	ntype_3
302	ntype_3
303	ntype_0
304	ntype_1
305	ntype_1
306	ntype_0
307	ntype_1
308	ntype_3
309	ntype_1
310	ntype_2
311	ntype_0
312	ntype_0
313	ntype_1
314	ntype_0
315	ntype_0
316	ntype_1
317	ntype_2
318	ntype_3
319	ntype_0
